country_code,commodity,year,hmrc_import_value,hmrc_net_mass,hmrc_transactions,ons_import_value,ons_import_value_gbp,value_gap,value_gap_pct,data_quality_flag
AD,43,2018,18271230,4992300.0,60,,,,,NO_ONS_DATA
AD,43,2019,3797750,5496000.0,27,,,,,NO_ONS_DATA
AD,43,2020,2769800,4573300.0,31,,,,,NO_ONS_DATA
AD,43,2021,43440600,14820200.0,97,,,,,NO_ONS_DATA
AD,43,2022,38688810,16734000.0,144,,,,,NO_ONS_DATA
AD,43,2023,7402420,6318500.0,82,,,,,NO_ONS_DATA
AD,43,2024,11766900,6122800.0,83,,,,,NO_ONS_DATA
AE,647,2018,34171233000,228577626200.0,18903,,,,,NO_ONS_DATA
AE,647,2019,27660466540,176965569000.0,19642,,,,,NO_ONS_DATA
AE,647,2020,19042862370,136162542400.0,16252,,,,,NO_ONS_DATA
AE,647,2021,24973118140,201695689400.0,17270,,,,,NO_ONS_DATA
AE,647,2022,40908053810,251802906000.0,19318,,,,,NO_ONS_DATA
AE,647,2023,31444702040,201772241400.0,20599,,,,,NO_ONS_DATA
AE,647,2024,38295242440,255540316100.0,22135,,,,,NO_ONS_DATA
AF,660,2018,21279320,41262900.0,206,,,,,NO_ONS_DATA
AF,660,2019,30748610,37709100.0,278,,,,,NO_ONS_DATA
AF,660,2020,37047070,90777700.0,264,,,,,NO_ONS_DATA
AF,660,2021,22094070,54782600.0,250,,,,,NO_ONS_DATA
AF,660,2022,20937810,73451900.0,194,,,,,NO_ONS_DATA
AF,660,2023,19262170,69036600.0,184,,,,,NO_ONS_DATA
AF,660,2024,12271060,54924300.0,262,,,,,NO_ONS_DATA
AG,459,2018,50843300,17189400.0,57,,,,,NO_ONS_DATA
AG,459,2019,30627590,269026200.0,68,,,,,NO_ONS_DATA
AG,459,2020,171876410,25969300.0,39,,,,,NO_ONS_DATA
AG,459,2021,22707760,936017100.0,52,,,,,NO_ONS_DATA
AG,459,2022,1195042030,281606700.0,89,,,,,NO_ONS_DATA
AG,459,2023,20461210,40735200.0,84,,,,,NO_ONS_DATA
AG,459,2024,37400320,44952500.0,57,,,,,NO_ONS_DATA
AI,446,2018,6219340,14295600.0,16,,,,,NO_ONS_DATA
AI,446,2019,14624320,71018500.0,25,,,,,NO_ONS_DATA
AI,446,2020,26798950,178380900.0,11,,,,,NO_ONS_DATA
AI,446,2021,12755420,36959800.0,18,,,,,NO_ONS_DATA
AI,446,2022,7476650,26357000.0,10,,,,,NO_ONS_DATA
AI,446,2023,322610,65400.0,14,,,,,NO_ONS_DATA
AI,446,2024,585260,1374000.0,10,,,,,NO_ONS_DATA
AL,70,2018,72157760,401782600.0,182,,,,,NO_ONS_DATA
AL,70,2019,64012450,340736700.0,249,,,,,NO_ONS_DATA
AL,70,2020,96635600,462389700.0,307,,,,,NO_ONS_DATA
AL,70,2021,92604380,357918200.0,400,,,,,NO_ONS_DATA
AL,70,2022,127051930,442069900.0,510,,,,,NO_ONS_DATA
AL,70,2023,245747330,406353600.0,630,,,,,NO_ONS_DATA
AL,70,2024,128821910,658120400.0,665,,,,,NO_ONS_DATA
AM,77,2018,20659320,33241700.0,112,,,,,NO_ONS_DATA
AM,77,2019,16796070,49534000.0,106,,,,,NO_ONS_DATA
AM,77,2020,17842530,53847500.0,112,,,,,NO_ONS_DATA
AM,77,2021,70419410,54986700.0,169,,,,,NO_ONS_DATA
AM,77,2022,59909910,168545500.0,199,,,,,NO_ONS_DATA
AM,77,2023,42964820,91133600.0,212,,,,,NO_ONS_DATA
AM,77,2024,23605790,26807400.0,220,,,,,NO_ONS_DATA
AO,330,2018,880989840,13585378700.0,389,,,,,NO_ONS_DATA
AO,330,2019,495287420,7412621100.0,372,,,,,NO_ONS_DATA
AO,330,2020,129331870,93002400.0,285,,,,,NO_ONS_DATA
AO,330,2021,210336550,1030741200.0,361,,,,,NO_ONS_DATA
AO,330,2022,11893270620,120925218900.0,298,,,,,NO_ONS_DATA
AO,330,2023,6214396420,77894223000.0,413,,,,,NO_ONS_DATA
