country_code,total_years,ons_covered_years,ons_coverage_pct
ER,7,1,14.285714285714285
BT,7,1,14.285714285714285
TC,7,1,14.285714285714285
ST,7,1,14.285714285714285
SR,7,1,14.285714285714285
UM,7,1,14.285714285714285
SO,7,1,14.285714285714285
DM,7,1,14.285714285714285
BW,7,1,14.285714285714285
VA,7,1,14.285714285714285
AW,7,1,14.285714285714285
TO,7,1,14.285714285714285
YE,7,1,14.285714285714285
GU,7,1,14.285714285714285
PF,7,1,14.285714285714285
VI,7,2,28.57142857142857
SH,7,2,28.57142857142857
XK,7,2,28.57142857142857
GN,7,2,28.57142857142857
ML,7,2,28.57142857142857
CV,7,2,28.57142857142857
LC,7,2,28.57142857142857
PW,3,1,33.33333333333333
NU,3,1,33.33333333333333
CX,5,2,40.0
GL,7,3,42.857142857142854
CW,7,3,42.857142857142854
SY,7,3,42.857142857142854
SB,7,3,42.857142857142854
AD,7,3,42.857142857142854
MH,7,3,42.857142857142854
AF,7,3,42.857142857142854
BJ,7,3,42.857142857142854
AI,7,3,42.857142857142854
WS,7,4,57.14285714285714
HT,7,4,57.14285714285714
NE,7,4,57.14285714285714
KG,7,4,57.14285714285714
AM,7,4,57.14285714285714
NC,7,4,57.14285714285714
ME,7,4,57.14285714285714
TG,7,5,71.42857142857143
KY,7,5,71.42857142857143
CD,7,5,71.42857142857143
BF,7,5,71.42857142857143
SM,7,5,71.42857142857143
SL,7,5,71.42857142857143
BS,7,5,71.42857142857143
FJ,7,6,85.71428571428571
PS,7,6,85.71428571428571
ZM,7,6,85.71428571428571
VG,7,6,85.71428571428571
GM,7,6,85.71428571428571
UZ,7,6,85.71428571428571
GQ,7,6,85.71428571428571
BN,7,6,85.71428571428571
BY,7,6,85.71428571428571
TM,7,6,85.71428571428571
UY,7,7,100.0
NP,7,7,100.0
NO,7,7,100.0
NL,7,7,100.0
NI,7,7,100.0
NG,7,7,100.0
TW,7,7,100.0
SZ,7,7,100.0
TH,7,7,100.0
MZ,7,7,100.0
MY,7,7,100.0
TN,7,7,100.0
MX,7,7,100.0
MW,7,7,100.0
MV,7,7,100.0
MU,7,7,100.0
MT,7,7,100.0
MR,7,7,100.0
MO,7,7,100.0
MN,7,7,100.0
MM,7,7,100.0
ZA,7,7,100.0
MK,7,7,100.0
SV,7,7,100.0
NZ,7,7,100.0
OM,7,7,100.0
PA,7,7,100.0
SE,7,7,100.0
SD,7,7,100.0
SC,7,7,100.0
SI,7,7,100.0
SK,7,7,100.0
SA,7,7,100.0
RW,7,7,100.0
RU,7,7,100.0
RO,7,7,100.0
QA,7,7,100.0
PY,7,7,100.0
VE,7,7,100.0
US,7,7,100.0
SN,7,7,100.0
TT,7,7,100.0
VN,7,7,100.0
PT,7,7,100.0
UG,7,7,100.0
UA,7,7,100.0
PL,7,7,100.0
PK,7,7,100.0
PH,7,7,100.0
PG,7,7,100.0
TZ,7,7,100.0
PE,7,7,100.0
SG,7,7,100.0
TR,7,7,100.0
KZ,7,7,100.0
MD,7,7,100.0
CI,7,7,100.0
CL,7,7,100.0
CM,7,7,100.0
CN,7,7,100.0
CO,7,7,100.0
CR,7,7,100.0
CU,7,7,100.0
CY,7,7,100.0
CZ,7,7,100.0
DE,7,7,100.0
DJ,7,7,100.0
DK,7,7,100.0
DO,7,7,100.0
DZ,7,7,100.0
EC,7,7,100.0
EE,7,7,100.0
EG,7,7,100.0
CH,7,7,100.0
ES,7,7,100.0
CG,7,7,100.0
BZ,7,7,100.0
AE,7,7,100.0
AG,7,7,100.0
AL,7,7,100.0
AO,7,7,100.0
AR,7,7,100.0
AT,7,7,100.0
AU,7,7,100.0
AZ,7,7,100.0
BA,7,7,100.0
BB,7,7,100.0
BD,7,7,100.0
BE,7,7,100.0
BG,7,7,100.0
BH,7,7,100.0
BM,7,7,100.0
BO,7,7,100.0
BR,7,7,100.0
CA,7,7,100.0
MG,7,7,100.0
ET,7,7,100.0
FK,7,7,100.0
JM,7,7,100.0
JO,7,7,100.0
JP,7,7,100.0
KE,7,7,100.0
KH,7,7,100.0
KR,7,7,100.0
KW,7,7,100.0
LA,7,7,100.0
LB,7,7,100.0
LI,7,7,100.0
LK,7,7,100.0
LR,7,7,100.0
LT,7,7,100.0
LU,7,7,100.0
LV,7,7,100.0
LY,7,7,100.0
MA,7,7,100.0
IT,7,7,100.0
FI,7,7,100.0
IS,7,7,100.0
IQ,7,7,100.0
FO,7,7,100.0
FR,7,7,100.0
GA,7,7,100.0
GE,7,7,100.0
GH,7,7,100.0
GI,7,7,100.0
GR,7,7,100.0
GT,7,7,100.0
GY,7,7,100.0
HK,7,7,100.0
HN,7,7,100.0
HR,7,7,100.0
HU,7,7,100.0
ID,7,7,100.0
IE,7,7,100.0
IL,7,7,100.0
IN,7,7,100.0
IR,7,7,100.0
ZW,7,7,100.0
